id,title,authority,local_government,source_type,canonical_url,status
08cafa09-c5a7-5dca-95b7-c3f8d0273ade,Local Planning Policies Access the full list of all relevant local planning policies adopted under Town Planning Scheme No.3.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Policies,active
65a717f3-bedc-510b-a5e2-9b454720ffe7,"Local Planning Scheme Find out about the City's current Planning Scheme. Department of Planning, Lands and Heritage Regulations and the current Scheme Text.",City of Cockburn,Cockburn,local_planning_scheme,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Scheme,active
7fa89c1c-6816-4ddb-a0ed-e32b207efd65,Local Planning Scheme - R Codes (DPLH-070),DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Property_and_Planning/MapServer/111,active
7735fc62-83cf-4c74-b9c6-e790c67a57e6,Local Planning Scheme - Zones and Reserves (DPLH-071),DPLH (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Property_and_Planning/MapServer/112,active
d955bb0f-4420-5c3d-83cd-8a63d3d37ee3,Local Planning Strategy and Key Initiatives Learn about the City's Local Planning Strategy and Key Initiatives.,City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives,active
ed2e4e3f-6c07-577c-a02e-bd222b76a49e,"Local Planning Strategy Learn about the Local Planning Strategy (LPS) which covers key issues such as housing, employment, business activity, transport and public open space.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Local-Planning-Strategy,active
435beb69-eff4-5c42-94f8-6e3eca1207cc,"Lot 1, 24 25 & 26 Rockingham Road Munster Structure Plan - WAPC Reference 801-02-23-0048 (PDF, 1.24MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2023-12/lot-1-24-25-26-rockingham-road-munster-structure-plan-wapc-reference801-02-23-0048.pdf,active
5b2d0457-03a4-5db3-8624-99cb4ea634e4,"Lot 27, 28 & 29 Rockingham Road Munster Structure Plan - WAPC Reference 801-02-23-0050 (PDF, 1.17MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2023-12/lot-27-28-29-rockingham-road-munster-structure-plan-wapc-reference-801-02-23-0050.pdf,active
1cc87f1a-7e14-51bc-aa7d-157c8107697c,"Lot 32 Barfield Road Hammond Park Structure Plan - WAPC Reference: SPN/0783 (PDF, 116.49MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-05/lot-32-barfield-road-hammond-park-structure-plan-wapc-reference-spn-0783.pdf,active
00163566-d034-5c8d-9754-76b717114ecb,"Lot 34 (No. 65) Ocean Road Coogee SPN 2299 (PDF, 16.53MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2022-08/SPL_Lot-34-65-Ocean-Road-Coogee-Structure-Plan-ref-SPN_2299.PDF,active
6cebaf91-cd98-58d5-a804-4aabf7fac9b0,"Lot 50 Barfield Road Hammond Park SPN 2298 (PDF, 49.23MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2022-02/Lot-50-Barfield-Road-Hammond-Park-Structure-Plan-SPN-2298.pdf,active
181aa027-5f3d-500e-8f1f-040347ffbf5b,"Lot 5 Rockingham Road Munster Structure Plan - WAPC Reference: SPN/2098 (PDF, 3.37MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-06/lot-5-rockingham-road-munster-structure-plan-wapc-reference-spn-2098.pdf,active
43a4801f-8ff6-522d-825d-9865c57563e5,"Lot 6 Hammond Road Success Structure Plan - WAPC Reference: SPN/0680 (PDF, 8.9MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-08/lot-6-hammond-road-success-structure-plan-wapc-reference-spn0680.pdf,active
92c1a864-cd1c-59e7-8586-c4afba9c4b52,"Lot 7 Hammond Road Success Structure Plan - WAPC Reference SPN 2304 (PDF, 6.23MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2023-03/SPL-Lot-7-Hammond-Road-Success-Structure-Plan-WAPC-Reference-SPN-2304.pdf,active
