check_key,R5,R10,R15,R20,R25,R30,R40,R50,R60,R80,R100,R160,R-AC
setback_front,,,,,,,,,,,,,
setback_rear,,,,,,,,,,,,,
setback_side,,,,,,,,,,,,,
site_cover,,,,,,,,,,,,,
open_space,,,,,,,,,,,,,
garage_width_dominance,,,,,,,,,,,,,
boundary_wall_length,,,,,,,,,,,,,
